Ref,Val,Package,Mid X,Mid Y,Rotation,Side
"C1","4.7uF","C_0402_1005Metric",106.400600,-37.719000,-90.000000,top
"C2","4.7uF","C_0402_1005Metric",106.400600,-39.573200,90.000000,top
"C3","4.7uF","C_0402_1005Metric",114.223800,-41.935400,90.000000,top
"C4","0.1uF","C_0402_1005Metric",103.251000,-53.213000,-90.000000,top
"C5","0.1uF","C_0402_1005Metric",104.261500,-41.783000,90.000000,top
"C6","0.1uF","C_0402_1005Metric",114.757200,-54.838600,0.000000,top
"C7","0.1uF","C_0402_1005Metric",103.296300,-41.783000,90.000000,top
"C8","0.1uF","C_0402_1005Metric",115.189000,-41.935400,90.000000,top
"C9","4.7uF/DNP/DNP","C_0402_1005Metric",103.733600,-55.575200,180.000000,top
"C10","33pF","C_0402_1005Metric",111.392101,-40.959349,0.000000,top
"C11","33pF","C_0402_1005Metric",111.392101,-40.044949,0.000000,top
"D1","LED_Small","LED_0603_1608Metric",103.657400,-59.893200,90.000000,top
"D2","1N5819WS","D_SOD-323",114.037400,-39.065200,180.000000,top
"D3","1N5819WS","D_SOD-323",114.604800,-59.766200,90.000000,top
"J6","USB_B_Micro","USB_Micro-B_micro_xnj_073_C404969",109.220000,-57.993500,180.000000,top
"R1","4K7","R_0402_1005Metric",109.524800,-40.944800,0.000000,top
"R2","4K7","R_0402_1005Metric",114.706400,-40.513000,0.000000,top
"R3","1K","R_0402_1005Metric",103.461662,-57.454426,-90.000000,top
"R4","10K","R_0402_1005Metric",104.452262,-57.454426,-90.000000,top
"RC4","0R/4.7uF/DNP","C_0402_1005Metric",114.757200,-53.873400,180.000000,top
"RC5","0R/4.7uF/DNP","C_0402_1005Metric",103.733600,-54.610000,180.000000,top
"U1","STM32F446RCT6","LQFP-64_10x10mm_P0.5mm",109.220000,-48.133000,180.000000,top
"U3","AP2112K-3.3","SOT-23-5",104.206000,-38.653300,180.000000,top
"U4","USBLC6-2P6","SOT-666",114.452400,-56.921400,90.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",108.661200,-38.354000,90.000000,top
